State,state_code,data science,cluster analysis,college,startup,entrepreneur,ceo,mortgage,nba,nfl,mlb,fifa,modern dance,prius,escalade,subaru,jello,bbq,royal family,obfuscation,unicorn,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,PsychRegions,region,division
Alabama,AL,-1.00,-0.13,1.10,-0.68,0.15,-0.73,1.53,-0.74,-1.83,-1.30,-0.80,-1.22,-0.74,0.10,-1.19,-0.75,1.52,0.26,-0.32,-1.03,55.5,52.7,55.5,48.7,42.7,1,3,6
Arizona,AZ,-0.42,-0.73,-0.10,0.11,0.57,0.25,0.95,0.38,0.68,0.14,0.10,0.30,1.19,0.78,-0.70,-0.58,0.36,-1.06,0.38,0.10,50.6,46.6,58.4,38.1,54.7,2,4,8
Arkansas,AR,-0.66,-0.39,-0.64,-0.08,0.01,-0.66,-0.50,-0.71,-1.59,-1.24,-0.88,-1.36,-0.43,0.93,-0.79,-0.19,1.01,-0.09,-0.45,-0.32,49.9,52.7,41.0,56.2,40.3,1,3,7
California,CA,1.95,-0.62,-0.26,2.02,0.46,1.27,-0.97,1.46,-0.91,0.39,1.94,0.33,3.97,-0.28,-0.52,-1.21,1.37,-1.04,0.70,-0.38,51.4,49.0,43.2,39.1,65.0,2,4,9
Colorado,CO,0.34,0.00,-0.61,1.49,0.05,0.33,1.38,-0.80,1.17,-0.51,-0.33,-0.34,0.24,0.01,1.37,-0.55,0.63,-0.80,1.32,0.20,45.3,47.5,58.8,34.3,57.9,1,4,8
Connecticut,CT,0.69,1.28,1.17,0.41,0.09,1.52,0.51,0.03,-0.64,1.25,1.58,0.59,0.11,-1.14,1.17,-0.78,-1.05,1.11,0.47,0.09,57.6,38.6,34.2,53.4,53.9,3,1,1
Delaware,DE,0.45,2.91,-0.46,0.14,2.74,0.91,1.71,0.37,1.63,0.86,0.83,-0.16,0.12,-0.61,-0.10,-0.56,-1.05,0.94,0.11,-0.49,47.0,38.8,36.5,62.4,42.7,3,3,5
Florida,FL,-0.73,-1.38,-0.30,-0.75,0.78,0.36,0.03,1.43,-0.47,0.06,1.07,-0.51,-0.02,0.82,-1.01,-1.07,-0.18,-0.84,-0.88,-1.10,60.9,50.7,62.7,40.8,61.0,1,3,5
Georgia,GA,-0.27,-0.57,0.25,-1.13,1.97,0.42,0.25,0.89,-0.53,-0.67,0.09,-0.81,-0.49,1.14,-1.04,-1.03,1.22,-1.26,-0.71,-1.01,63.2,60.0,68.8,38.0,56.9,1,3,5
Idaho,ID,-0.67,-1.12,-0.87,1.30,0.21,-0.59,0.62,-1.47,-0.30,-1.35,-0.90,0.21,-0.03,-0.60,1.07,1.23,0.19,-0.83,1.05,1.80,40.7,52.9,44.5,44.2,44.7,2,4,8
Illinois,IL,0.87,0.79,0.02,-0.58,-0.05,1.21,-0.43,1.83,-0.07,1.33,0.35,-0.46,-0.20,0.47,-0.66,0.25,0.02,-0.64,-0.27,-1.00,62.5,48.3,50.9,51.2,55.2,1,2,3
Indiana,IN,0.01,0.65,-0.86,0.22,0.93,-0.02,0.07,0.61,-0.16,-0.31,-0.36,-0.28,-0.28,-0.08,-0.63,0.57,-0.90,0.23,0.02,0.37,48.9,50.2,56.2,59.3,44.9,1,2,3
