state_code,cluster
AL,Cluster 0
AZ,Cluster 0
AR,Cluster 0
FL,Cluster 0
GA,Cluster 0
IN,Cluster 0
IA,Cluster 0
KS,Cluster 0
KY,Cluster 0
LA,Cluster 0
MI,Cluster 0
MN,Cluster 0
MS,Cluster 0
MO,Cluster 0
NE,Cluster 0
NV,Cluster 0
NC,Cluster 0
ND,Cluster 0
OH,Cluster 0
OK,Cluster 0
OR,Cluster 0
SC,Cluster 0
SD,Cluster 0
TN,Cluster 0
TX,Cluster 0
VA,Cluster 0
WI,Cluster 0
CO,Cluster 1
ID,Cluster 1
ME,Cluster 1
MT,Cluster 1
NH,Cluster 1
NM,Cluster 1
VT,Cluster 1
WA,Cluster 1
WV,Cluster 1
WY,Cluster 1
UT,Cluster 2
CA,Cluster 3
CT,Cluster 3
DE,Cluster 3
IL,Cluster 3
MD,Cluster 3
MA,Cluster 3
NJ,Cluster 3
NY,Cluster 3
PA,Cluster 3
RI,Cluster 3
