row,rt,corr,Pacc,prev
1,6.456769656,cor,0,inc
2,5.602118821,cor,0,cor
3,6.253828812,inc,0,cor
4,5.451038454,inc,0,inc
5,5.872117789,inc,0,inc
6,6.003887067,cor,0,inc
7,5.402677382,cor,0.045454545,cor
8,6.406879986,cor,0.090909091,cor
9,6.077642243,inc,0.136363636,cor
10,5.480638923,cor,0.181818182,inc
11,5.958424693,cor,0.227272727,cor
12,5.828945618,inc,0.272727273,cor
13,5.926926026,cor,0.318181818,inc
14,6.124683391,inc,0.363636364,cor
15,5.955837369,cor,0.409090909,inc
16,6.059123196,cor,0.454545455,cor
17,6.478509642,inc,0.5,cor
18,6.445719819,cor,0.545454545,inc
19,6.562444094,cor,0.590909091,cor
20,6.647688374,cor,0.636363636,cor
21,6.49677499,cor,0.681818182,cor
22,6.395261598,cor,0.727272727,cor
23,6.529418838,cor,0.772727273,cor
24,6.376726948,cor,0.727272727,cor
25,6.548219103,cor,0.681818182,cor
26,6.401917197,cor,0.636363636,cor
27,6.363028104,cor,0.590909091,cor
28,6.253828812,cor,0.545454545,cor
29,6.333279628,cor,0.5,cor
30,6.517671273,cor,0.454545455,cor
31,6.345636361,cor,0.409090909,cor
32,6.091309882,cor,0.363636364,cor
33,7.151485464,cor,0.318181818,cor
34,5.429345629,cor,0.272727273,cor
35,5.043425117,cor,0.227272727,cor
36,5.332718793,inc,0.181818182,cor
37,5.278114659,cor,0.136363636,inc
38,5.564520407,cor,0.090909091,cor
39,5.398162702,inc,0.045454545,cor
40,5.505331536,cor,0.090909091,inc
41,5.568344504,cor,0.136363636,cor
42,5.517452896,cor,0.181818182,cor
43,5.398162702,inc,0.227272727,cor
44,5.560681631,cor,0.272727273,inc
45,6.169610732,cor,0.318181818,cor
46,6.06610809,inc,0.363636364,cor
47,6.184148891,cor,0.409090909,inc
48,6.226536669,cor,0.454545455,cor
49,6.350885717,cor,0.5,cor
50,6.22059017,cor,0.545454545,cor
51,6.12249281,cor,0.590909091,cor
52,6.269096284,cor,0.636363636,cor
53,6.66949809,cor,0.590909091,cor
54,6.413458957,cor,0.545454545,cor
55,6.481577129,inc,0.5,cor
56,6.907755279,cor,0.454545455,inc
57,6.363028104,cor,0.409090909,cor
58,6.586171655,cor,0.363636364,cor
59,6.366470448,cor,0.318181818,cor
60,5.918893854,inc,0.272727273,cor
61,6.02827852,inc,0.227272727,inc
62,5.446737372,cor,0.181818182,inc
63,5.92157842,cor,0.136363636,cor
